Book_Title,Author,Barcode,Status,User
Building Big,David Macaulay,2010000000595,Available,nan
Leading Change,John P. Kotter,2010000000601,Available,nan
Type Talk at Work: How the 16 Personality Types Determine Your Success on the Job,"Otto Kroeger, Janet M. Thuesen",2010000000618,Available,nan
Twenty Years Later: What We Have Learned Since the Big Thompson Flood,Eve Gruntfest Editor,2010000000625,Available,nan
Applied Hydrology,"Ray K. Linsley Jr., Max A. Kohler, Joseph L. H. Paulhus",2010000000632,Available,nan
General Meteorology,Horace Robert Byers Sc.D.,2010000000649,Available,nan
Guidelines for Determining Flood Flow Frequency Bulletin 17C,"John F. England Jr., Timothy A. Cohn, Beth A. Faber, Jerry R. Stedinger, Wilbert O. Thomas Jr., Andrea G. Veilleux, Julie E. Kiang, Robert R. Mason Jr.",2010000000656,Available,nan
Watter Supply Engineering,"Harold E. Babbitt, James J. Donald",2010000000663,Available,nan
Hydraulic and Evacuation Tables,Bureau of Reclamation,2010000000670,Available,nan
Hydraulic and Evacuation Tables,Bureau of Reclamation,2010000000922,Available,nan
Fluid Transients,"E. Benjamin Wylie, Victor L. Streeter",2010000000687,Available,nan
Solutions manual to accompany fluid mechanics with engineering applications,"Robert L. Daugherty, Joseph B. Franzini",2010000000694,Available,nan
A Heritage of Water,Water Education Foundation (Produced by),2010000000700,Available,nan
The Flow of Complex Mixtures and Pipes,"G. W. Govier, K. Aziz",2010000000717,Available,nan
Fluid mechanics,John K. Vennard,2010000000724,Available,nan
Handbook of hydraulics,"Horase Williams King, Ernest F. Brater",2010000000731,Available,nan
Open channel flow,F. M. Henderson,2010000000748,Available,nan
Drainage Manual,US Department of interior,2010000000755,Available,nan
Stochastic hydraulics,Chao-Lin Chiu,2010000000762,Available,nan
Design of small canal structures,"A. J. Aisenbrey Jr., R. B. Hayes, H. J. Warren, D. L. Winsett, R. B. Young",2010000000779,Available,nan
Groundwater manual,US Department of the interior water empower resources service,2010000000786,Available,nan
Proceedings of the international symposium on uncertainties and hydrologic and water resources system volume one,University of Arizona,2010000000793,Available,nan
Proceedings of the international symposium of uncertainties and hydrologic and water resource systems volume two,University of,2010000000809,Available,nan
Proceedings of the international symposium on uncertainty and hydraulic and water resources systems volume three,University of,2010000000816,Available,nan
Water Management,"Warren Viessman, Claire Welty",2010000000823,Available,nan
When the Rivers Run Dry: Water--The Defining Crisis of the Twenty-first Century,Fred Pearce,2010000000830,Available,nan
The Dammed,Fred Pearce,2010000000847,Available,nan
Evaluation Procedures for Hydrologic Safety of Dams: A Report,American Society of Civil Engineers. Task Committee on Spillway Design,2010000000854,Available,nan
Envisioning the Agenda for Water Resources Research in the Twenty-First Century (Compass series),"Water Science and Technology Board, National Research Council, Division on Earth and Life Studies",2010000000861,Available,nan
Modeling of Rivers,Hsieh W. Shen,2010000000878,Available,nan
